restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,protein_efficiency
Mcdonalds,Artisan Grilled Chicken Sandwich,380.0,60.0,7.0,2.0,0.0,95.0,1110.0,44.0,3.0,11.0,37.0,4.0,20.0,20.0,9.736842105263158
Mcdonalds,Single Bacon Smokehouse Burger,840.0,410.0,45.0,17.0,1.5,130.0,1580.0,62.0,2.0,18.0,46.0,6.0,20.0,20.0,5.476190476190476
Mcdonalds,Double Bacon Smokehouse Burger,1130.0,600.0,67.0,27.0,3.0,220.0,1920.0,63.0,3.0,18.0,70.0,10.0,20.0,50.0,6.1946902654867255
Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750.0,280.0,31.0,10.0,0.5,155.0,1940.0,62.0,2.0,18.0,55.0,6.0,25.0,20.0,7.333333333333333
Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920.0,410.0,45.0,12.0,0.5,120.0,1980.0,81.0,4.0,18.0,46.0,6.0,20.0,20.0,5.0
Mcdonalds,Big Mac,540.0,250.0,28.0,10.0,1.0,80.0,950.0,46.0,3.0,9.0,25.0,10.0,2.0,15.0,4.62962962962963
Mcdonalds,Cheeseburger,300.0,100.0,12.0,5.0,0.5,40.0,680.0,33.0,2.0,7.0,15.0,10.0,2.0,10.0,5.0
Mcdonalds,Classic Chicken Sandwich,510.0,210.0,24.0,4.0,0.0,65.0,1040.0,49.0,3.0,6.0,25.0,0.0,4.0,2.0,4.901960784313726
Mcdonalds,Double Cheeseburger,430.0,190.0,21.0,11.0,1.0,85.0,1040.0,35.0,2.0,7.0,25.0,20.0,4.0,15.0,5.813953488372093
Mcdonalds,Double Quarter Pounder® with Cheese,770.0,400.0,45.0,21.0,2.5,175.0,1290.0,42.0,3.0,10.0,51.0,20.0,6.0,20.0,6.623376623376623
Mcdonalds,Filet-O-Fish®,380.0,170.0,18.0,4.0,0.0,40.0,640.0,38.0,2.0,5.0,15.0,2.0,0.0,15.0,3.9473684210526314
Mcdonalds,Garlic White Cheddar Burger,620.0,300.0,34.0,13.0,1.5,95.0,790.0,48.0,3.0,11.0,32.0,10.0,10.0,35.0,5.161290322580645
Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530.0,180.0,20.0,7.0,0.0,125.0,1150.0,48.0,3.0,11.0,42.0,10.0,20.0,35.0,7.9245283018867925
Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700.0,300.0,34.0,9.0,0.0,85.0,1190.0,67.0,5.0,11.0,33.0,10.0,15.0,35.0,4.714285714285714
Mcdonalds,Hamburger,250.0,70.0,8.0,3.0,0.0,30.0,480.0,31.0,2.0,6.0,13.0,2.0,2.0,4.0,5.2
Mcdonalds,Lobster Roll,290.0,50.0,5.0,1.5,0.0,65.0,630.0,35.0,2.0,3.0,24.0,4.0,6.0,15.0,8.275862068965518
Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640.0,330.0,36.0,14.0,1.5,110.0,1260.0,40.0,3.0,10.0,37.0,6.0,15.0,15.0,5.78125
Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580.0,190.0,21.0,8.0,0.0,135.0,1890.0,50.0,3.0,14.0,48.0,4.0,30.0,30.0,8.275862068965518
Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740.0,310.0,35.0,9.0,0.5,95.0,1780.0,69.0,5.0,14.0,39.0,4.0,20.0,290.0,5.27027027027027
Mcdonalds,McChicken,350.0,130.0,15.0,3.5,0.0,40.0,600.0,40.0,2.0,5.0,15.0,2.0,2.0,4.0,4.285714285714286
Mcdonalds,McDouble,380.0,160.0,18.0,8.0,1.0,70.0,840.0,34.0,2.0,7.0,23.0,10.0,2.0,10.0,6.052631578947368
Mcdonalds,McRib,480.0,200.0,22.0,7.0,0.0,80.0,870.0,45.0,2.0,12.0,25.0,2.0,2.0,6.0,5.208333333333334
Mcdonalds,Pico Guacamole 1/4 lb Burger,580.0,300.0,33.0,12.0,1.5,95.0,920.0,41.0,4.0,7.0,29.0,8.0,15.0,15.0,5.0
